-70.531307,-18.222944
-70.5133,-18.2081
-71.48611,-16.39523
-74.211331369,-13.179941174
-74.21298,-13.17944
-74.21354,-13.17896
-73.91911,-13.09221
-76.030180467,-12.859149059
-76.386568278,-11.848896428
-74.260756,-11.049832
-74.37847,-10.97507
-74.37933,-10.97372
-75.014467427,-10.958129166
-77.712351679,-10.785020047
-77.53966,-9.52397
-74.942987,-9.501327
-76.128647982,-8.743982557
-75.427143157,-8.653888809
-75.42725,-8.65377
-76.31,-7.2943
-79.863553011,-6.780637661
-76.9069,-6.5883
-77.245110083,-6.489025582
-77.2451,-6.489
-76.945115634,-6.256300379
-77.31246989,-5.936442312
-77.310661476,-5.935928234
-77.315010167,-5.934203015
-77.3102,-5.9302
-78.39852,-5.84912
-79.123648731,-5.470836984
-79.124205771,-5.470730227
-80.652125162,-5.162719141
-80.65133206,-5.162690662
-80.2235,-3.5643
